# filename	WIDTHxHEIGHT	description of the real asset to drop in
wayback_trillion.png	810x105	Screenshot: Wayback Machine search header, "Explore more than 1 trillion web pages saved over time" (web.archive.org, 2026-09-22)
wayback_calendar.png	1480x724	Screenshot: facebook.com's Calendar tab, 2005 selected -- bars of captures per year and January to March 2005's dots (web.archive.org, 2026-09-25)
toolbar.png	2080x136	Screenshot: the Wayback toolbar on facebook.com, January 21, 2004 -- address, 8,516,746 captures, the strip of bars across the years, the date and its arrows (2026-09-25)
address_bar.png	1004x42	Screenshot: browser address bar showing web.archive.org/web/20040212031928/http://www.thefacebook.com/
about_capture.png	1600x478	Screenshot (copy of textbook figure 7.3): About this capture on thefacebook.com, 2004-02-12 -- Collected by Alexa Crawls (alexa_dv); Timestamps: logo-right.jpg +1 year 3 months, logo-left.jpg +3 months 20 days
calendar_dots_2005.png	512x560	Screenshot composite: facebook.com's 2005 calendar, April (blue on the 6th and 8th, orange from the 10th) and August (orange to the 4th, blue from the 6th)
x_com_1999.png	1120x814	Screenshot: x.com, 1999-11-14 (X.com's pre-launch page), below the toolbar -- every visible image broken, its alt text showing
toolbar_counts.png	1892x382	Screenshot composite: Wayback toolbar counts and strips for google.com (20,394,311 captures), facebook.com (8,516,746), x.com (94,893), 2026-09-25
wayback_down.png	254x42	Screenshot: web.archive.org answering "upstream request failed" (HTTP 502) while this deck was being made, 2026-09-22
devtools_archived.png	1600x736	Screenshot: Chrome DevTools Elements tree at 175% on the archived thefacebook.com page (2004-02-12) -- wm-ipp-base toolbar div, END WAYBACK TOOLBAR INSERT, center selected
wrapped_vs_raw.png	1272x1010	Screenshot composite: View Source of the same capture, wrapped (injected Wayback scripts) above id_ raw (the page's own style)
facebook_2004.png	542x440	Screenshot composite: facebook.com, 2004-01-21 -- AboutFace's banner, "The first name in directories", and its pitch, "Eliminate the need for printed facebooks"
thefacebook_2004.png	1092x444	Screenshot: thefacebook.com, 2004-02-12 -- "[ thefacebook ]" banner and the welcome box, through Harvard University
x_com_1997.png	1460x840	Screenshot: x.com, 1997-04-11 -- "not nearly the worst place on the web!!!", Dave's World, Rob's House of Weather
google_1998.png	1600x400	Screenshot: google.com, 1998-11-11, under the toolbar (20,394,311 captures) -- "Welcome to Google", "Google Search Engine Prototype"
cdx_response.png	1200x720	Screenshot: a CDX Server API JSON response, showing the header row then rows of timestamp / original / statuscode / length for successive captures
pr_review.png	1300x760	Screenshot: a GitHub pull-request "Files changed" view with an inline review comment on ch-07-archives.qmd
